PB.10001:GPA33	GPA33
PB.100014:RECK	RECK
PB.100014:CLTA	CLTA
PB.100014:MELK	MELK
PB.100014:GLIPR2	GLIPR2
PB.100014:CCIN	CCIN
PB.100023:ENSG00000250850	ENSG00000250850
PB.100023:ZCCHC7	ZCCHC7
PB.100023:EBLN3P	EBLN3P
PB.100027:PAX5	PAX5
PB.100027:ENSG00000260100	ENSG00000260100
PB.100027:ENSG00000233242	ENSG00000233242
PB.100027:ENSG00000228292	ENSG00000228292
PB.100028:GRHPR	GRHPR
PB.100028:CHCHD4P3	CHCHD4P3
PB.10003:POU2F1-DT	POU2F1-DT
PB.100034:ZBTB5	ZBTB5
PB.100041:POLR1E	POLR1E
PB.100041:ENSG00000234160+POLR1E	ENSG00000234160+POLR1E
PB.100041:ENSG00000234160	ENSG00000234160
PB.100053:FBXO10	FBXO10
PB.100053:TOMM5	TOMM5
PB.100053:ENSG00000256966	ENSG00000256966
PB.100053:ENSG00000256966+FBXO10	ENSG00000256966+FBXO10
PB.100059:TRMT10B	TRMT10B
PB.10006:POU2F1	POU2F1
PB.10006:ENSG00000272033	ENSG00000272033
PB.100066:DCAF10	DCAF10
PB.100066:ENSG00000232454	ENSG00000232454
PB.100066:DCAF10+PAICSP1	DCAF10+PAICSP1
PB.100069:EXOSC3	EXOSC3
PB.100069:ENSG00000289295	ENSG00000289295
PB.100069:EXOSC3+SLC25A51	EXOSC3+SLC25A51
PB.100069:SLC25A51	SLC25A51
PB.100083:SHB	SHB
PB.100096:ALDH1B1	ALDH1B1
PB.1001:CAPZB	CAPZB
PB.1001:AKR7A2	AKR7A2
PB.100102:FAM95C	FAM95C
PB.100102:ENSG00000273036	ENSG00000273036
PB.100107:SNX18P3	SNX18P3
PB.100108:SNX18P3	SNX18P3
PB.100116:FAM201A	FAM201A
PB.100117:ANKRD18A	ANKRD18A
PB.10012:CD247	CD247
PB.10012:CREG1	CREG1
PB.10012:ENSG00000241666	ENSG00000241666
PB.100141:ZNF658B	ZNF658B
PB.100148:RBPJP5	RBPJP5
PB.100152:GLIDR	GLIDR
